title,ingredients,instructions,cookTime,prepTime,category,tags,notes,rating,difficulty,source,lastCooked,isFavorite
"Remove the loaf from the dutch oven and let it cool for at least 30 minutes before slicing, Rosemary + Olive Oil: 2 tbsp of both",keep kneading. If it’s too sticky and you think you’ve added enough flour,let it sit for 5 minutes Rub olive oil in the bowl before putting the dough in to rise Cinnamon Raisin: 1 tsp cinnamon,you’re good. If it does,,Lunch/Dinner,take a little part and stretch it. If it doesn’t break,¼ cup raisins Honey: ¼ cup,,,appetizers_full_export (1).csv,,false
Buffalo Chicken Wontons,,,,,Appetizers,,We talked about doing this for a light dinner one night for when we need to eat something but aren’t in the mood for anything heavy. Picture will be added when we make it :),,,appetizers_full_export (1).csv,,false
Add kale,"and lemon juice, Of course the first dish has to be from our first out of town trip. We went to Sur la Table May 22",2021 and made this,pepper,,Lunch/Dinner,and add salt,butter,,,appetizers_full_export (1).csv,,false
1/4 cup toasted hazelnuts,and mustard; whisk to combine. While whisking vigorously,slowly drizzle in the oil until emulsified. Add shallot,lemon juice,,Lunch/Dinner,add the lemon zest,garlic and herbs; stir to combine. Taste and adjust seasoning with salt,,,appetizers_full_export (1).csv,,false
Turn the heat of your non-stick pan down to low,mashing down the tomatoes until broken down and smooth. Add brown sugar,basil and season to taste,cook plum tomatoes for 10 mins,,Lunch/Dinner,until it just starts to turn a golden brown. Add tin of plum tomatoes,once sauce has thickened,,,archived_recipes (1).csv,,false
Meanwhile,garlic,cumin,mint leaves and olive oil to a food processor or blender and blitz until smooth. Add this mixture to a bowl with plain yoghurt,,Lunch/Dinner,coriander,garam masala,,,archived_recipes (1).csv,,false
Citrus Shrimp Lettuce Cups,1,,,,Lunch/Dinner,,,,,archived_recipes (1).csv,,false
Make the noodle sauce: While the chicken is cooking,ginger,soy sauce,garlic,,Lunch/Dinner,whisk together peanut butter,rice vinegar,,,archived_recipes (1).csv,,false
Lunch/Dinner,,,,,Breakfast,,,,,meals_breakfast_recipes (1).csv,,false
Sauce: buffalo sauce,garlic paste,pepper,worcestershire sauce,,Lunch/Dinner,butter,paprika,,,meals_lunch_dinner_recipes (1).csv,,false
Spices: paprika,oregano,salt,onion powder,,Lunch/Dinner,garlic powder,chili powder,,,meals_lunch_dinner_recipes (1).csv,,false
General Tso’s Chicken,¼,Heat,,,Lunch/Dinner,,Ide,,,meals_lunch_dinner_recipes (1).csv,,false
Place rice in a sieve and rinse under cold water to remove some of the starch,stir well and toast the rice slightly for 2 mins,then add boiling chicken stock. Once simmering,chilli flakes and oregano,,Lunch/Dinner,2-3 tbsp of fajita seasoning,reduce heat,,,meals_lunch_dinner_recipes (1).csv,,false
In one shallow dish,pepper,garlic powder,salt,,Lunch/Dinner,grated parmesan cheese,oregano,,,meals_lunch_dinner_recipes (1).csv,,false
4. To prepare the sauce: Return skillet to stove over medium heat and add 2 tablespoons butter. When butter is melted and foam subsides,about 3 minutes. If shallots become dry during cooking,add water as needed,until browned,,Lunch/Dinner,stirring occasionally,1 tablespoon at a time. Using a wooden spoon,,,meals_lunch_dinner_recipes (1).csv,,false
Butter one side of each piece of bread. In a skillet over medium heat,caramelized onions,secret sauce,beef patty,,Lunch/Dinner,one slice of swiss cheese,slice of cheddar cheese,,,meals_lunch_dinner_recipes (1).csv,,false
Make the herb seasoning: In a small bowl,thyme,salt,parsley,,Lunch/Dinner,garlic,pepper,,,meals_lunch_dinner_recipes (1).csv,,false
Add pasta,"basil. Whatever you want bc it’s your dish, Simple",easy,lemon zest,,Lunch/Dinner,lemon juice if ya want,doable,,,remaining_recipe_sections (1).csv,,false
Crockpot,,,,,Lunch/Dinner,,,,,remaining_recipe_sections (1).csv,,false
"1/3 c. Loosely Packed Fresh Cilantro Leaves,In the jar of a blender",hoisin,vinegar,tamari,,Lunch/Dinner,garlic,sesame oil,,,remaining_recipe_sections (1).csv,,false
In a medium sized bowl,sesame oil,apple juice,soy sauce,,Lunch/Dinner,vinegar,ginger,,,remaining_recipe_sections (1).csv,,false
Coleslaw,brown sugar,bourbon,barbecue sauce,,Lunch/Dinner,combine chicken breasts,Italian dressing,,,remaining_recipe_sections (1).csv,,false
"Sour Cream,Season chicken breasts with salt and pepper and place on the bottom of the slow cooker. Then add cumin",diced garlic,corn,and red pepper flakes on top of the chicken along with sliced onions,,Lunch/Dinner,chili powder,and black beans. Pour one 10 oz can of enchilada sauce on top of everything. Cover with the lid and cook on low heat for 6-8 hours or on high heat for 3-4 hours,,,remaining_recipe_sections (1).csv,,false
To the slow cooker,chicken stock,dijon mustard,lemon juice,,Lunch/Dinner,½ cup butter,minced garlic,,,remaining_recipe_sections (1).csv,,false
"1/8 cup cilantro minced,Add the chicken",chili powder,pinto beans,onion powder,,Lunch/Dinner,pepper,tomatoes,,,remaining_recipe_sections (1).csv,,false
Name,,,,,Lunch/Dinner,,,,,remaining_recipe_sections (1).csv,,false
Name,,,,,Lunch/Dinner,,,,,remaining_recipe_sections (1).csv,,false
Tomato Free Pasta Sauce,,,,,Lunch/Dinner,,,,,remaining_recipe_sections (1).csv,,false
