title,category,tags,cookTime,ingredients,instructions,notes,rating
Ahi Tuna Steaks,Meals - Lunch/Dinner,,,"2 ahi tuna steaks (about 4 oz. each, 1"" thick)
2 tablespoons soy sauce
1 tablespoon toasted sesame oil or whatever you like
1 tablespoon honey
½ teaspoon kosher salt
¼ teaspoon black pepper to taste
¼ teaspoon cayenne pepper
1 tsp ginger
1 garlic clove minced = 1 tsp
1 tablespoon canola oil or olive oil
green onions, toasted sesame seeds, and lime wedges for serving (optional)","Pat the ahi tuna steaks dry with a paper towel. Place on a plate or inside a plastic bag.
Mix the soy sauce, oil, honey, kosher salt, pepper, and cayenne pepper and pour over the ahi tuna steaks to let marinate
Heat a medium skillet on medium-high to high until very hot and add the canola oil
Sear each side of the tuna for
Rare: 30 seconds
Medium Rare: 1 - 1½ minutes
Medium Well: 2 -2½ minutes
Remove and eat
Macros (6oz)
Calories: 230
Fat: 1
Carb: 11
Protein: 43",,
"Asparagus, Rice, and Lemon Pepper Chicken",Meals - Lunch/Dinner,,,"Lemon Pepper Chicken
1 lb chicken cut into cubes
1 tbsp lemon zest
1 tsp salt
1 tsp pepper
½ tsp garlic powder
¼ tsp paprika
oil
Glaze
½ lemon juice
1 tbsp lemon zest
Pinch of salt
1 tsp black pepper
2 tbsp butter
2 cloves garlic
3 tbsp honey
Asparagus
1.5 cups cooked rice
Salt and pepper
2 cloves garlic
2 tbsp red onion
Asparagus
Garnish w parsley","Cook chicken
Melt butter in a pan and add garlic, cook until fragrant then add in the rest of the ingredients for the glaze
Simmer until slightly thickened then add cooked chicken
Saute garlic and red onion and asparagus
Add cooked rice",,
Attempted Sushi,Meals - Lunch/Dinner,,,"Salmon (sushi grade or else you cook it)
Mayo
Sriracha
Soy sauce
Sesame oil
Optional: green onions
STICKY RICE","Add chopped salmon to a bowl with sauce
Chop rice into shapes and fry in oil on both sides
Top with salmon mixture and be happy :)", Lol we tried to do this once without sticky rice and it did not turn out like it was supposed to. Decided to just add this for the laughs,
Bacon Wrapped Buffalo Ranch Chicken Skewers,Meals - Lunch/Dinner,,,"Chicken boobs
Buffalo ranch seasoning (powder)
Bacon
Mozzarella
Sauce: buffalo sauce, A-1 sauce, butter, worcestershire sauce, garlic paste, pepper, paprika,","Slice chicken breasts in half and season with buffalo ranch seasoning
Wrap chicken around a slice of mozzarella and wrap bacon around that
Skewer those hoes
Cook
Brush sauce on it", Saw this on a tiktok and it looks fire so we’re gonna try this eventually,
Balsamic Vinegar Chicken,Meals - Lunch/Dinner,,,"2 chicken boobs
Olive oil
Salt
Pepper
Basil
Oregano
Minced garlic
Cherry tomatoes
¼ - ½ onion
Cheese (i used mozzarella last time)
Sauce
1 tbsp brown sugar
¼ cup balsamic vinegar
Minced garlic","Preheat oven to 425°F
Cut slits in the chicken and drizzle olive oil over them and season it
Cut up the onion and tomatoes, add to a dish, and toss in olive oil
Place chicken in the dish and pour sauce over it all
Cook for 25 minutes, add cheese, cook until cheese is melted", Made this for you on 12/08/21 before we went to your house to watch the second to last episode of Survivor 41. Later that night was Kinzee’s birthday so I bought some Tums at the store that day so your stomach didn’t hurt from the tomatoes. This was actually pretty good considering I only used basil and other spices not listed since I was out of all the ones I needed.,
Buffalo Chicken Balls,Meals - Lunch/Dinner,,,"Cooked shredded chicken
Cheese
Buffalo Sauce
Cream cheese (optional)
Flour
Eggs
Panko Bread Crumbs
RANCH","In a bowl, mix together chicken, cheese, and buffalo sauce (and cream cheese)
Ball them up before coating them in flour, egg, and then bread crumbs
Airfry at 400°F for about 9-10 minutes with flipping them halfway thru"," The person didn’t post the recipe to this so I don’t have exact measurements sorry :( Yo so the exact measurements didn’t matter bc they still turned out pretty good. I made them on 2/26/22 after our SLAM Spring Retreat bc we needed a light dinner before we got fucked up lol. Anyways, I didn’t use as much buffalo sauce and cheese bc I didn't want to overdo it but it could’ve used more. Gonna make these more often because they were also the perfect hangover snack/meal this morning :)",
Buffalo Chicken Bites,Meals - Lunch/Dinner,,,"1 lb Chicken boobs
1 tbsp baking powder
½ cup flour
Seasonings
Buffalo sauce","In a bowl, mix together flour, baking powder, and seasonings
Toss those cut up chicken boobs
Airfry at 400°F for about 15 minutes
Lightly coat the chicken in buffalo sauce",,
Buffalo Chicken Garlic Bread,Meals - Lunch/Dinner,,,"Chicken boobs/tenders (it’ll be shredded anyways, fuck it use rotissiere if you want)
Spices: paprika, cayenne, garlic powder, onion powder, oregano, salt, chili powder, pepper, olive oil
“½ cup” of Buffalo Sauce
Garlic Bread (can either make it like below or buy the HEB one)
2 sticks butter
10-20 cloves minced garlic
1 tbsp thyme
1 tbsp rep pepper flakes
1 tsp garlic powder
Pinch of salt
Faguette, i mean faguette, i mean faguette (it's a baguette btw)
Mozzarella Cheese","Preheat oven to 365˚F
Cook da chicken
Shred da chicken
Mix in buffalo sauce and vin*gar
Make bread: spread butter mixture on and cook at 365˚F for ~10 minutes
Remove bread and add chicken and cheese
Cook until melted
Cut bread and give to me :)"," The picture of us is when we went to Riley’s house for the Arkansas game watch party (9/25/2021). Aggies sucked so bad that we needed to go to HEB during halftime to get more beer. While we were there, we were thinking of what to get for dinner and you grabbed the garlic bread. We munched on it for a bit that day but still had some left. Since we are so financially conscious, we decided to use it to make this recipe the next night for dinner and it fucking smacked. As I’m typing this, you are sitting across from me in Evans studying and you have no idea that I’m doing this. Last night was also a date night for us and I had a lot of fun, thank you. :)))))) <3!",
Buffalo Chicken Sliders,Meals - Lunch/Dinner,,,"Hawaiian Rolls
2 cups of shredded chicken
Season however ya want
Buffalo Sauce
Ranch
Chives (optional)
Mozzarella Cheese (slices, shredded, whatever ya heart desires)
Melted Butter
Ranch Seasoning","Preheat oven to 350˚F
Slice rolls in half (like the whole sheet of them)
Mix together chicken, buffalo sauce, and ranch
Place chicken mixture on the bottom half of the rolls and top with cheese
Put the top back on, butter it up, and add some of that ranch seasoning
Cook for about 20 minutes", Damn we have so many buffalo chicken recipes but that shit smacks so i’m not really complaining,
Buffalo Chicken Stromboli,Meals - Lunch/Dinner,,,"Pizza dough
2 chicken breasts
Buffalo sauce
Olive oil
Mozzarella/Provolone/Sharp White Cheddar (use one or all)
Garlic Parmesan Butter
Ranch to dip","Preheat oven to 400˚F
Roll out dough on a pan and let it sit in olive oil
Shred boiled chicken and add buffalo sauce (just enough to coat)
Add cheese to dough, cover with chicken, add more cheese
Roll it like a blunt
Cover with garlic butter and cook for 25 minutes", No notes on this yet bc we’ll make it soon. It seems similar to the buffalo chicken garlic bread and that smacked so this will too,
