title,category,tags,cookTime,ingredients,instructions,notes,rating
Accordion Potatoes,Appetizers & Sides,,,"Small golden potatoes
Olive oil
Seasoning
4ish cloves minced garlic
¾ stick of butter
Lemon pepper
Cheese/Sour cream optional","Preheat oven to 350˚F
Wash potatoes and slice them but leave them in tact on the bottom
Lather them in olive oil and season
Place in a cast iron skillet and stick in the oven for a bit
After, melt butter in the same pan and add garlic and lemon pepper
Baste and stick them in the oven to caramelize a bit",,
Bacon Wrapped Pickle Chips,Appetizers & Sides,,,"Pickles
Bacon
Ranch to dip idk","Wrap the pickle slices in bacon
Air Fryer: 400˚F for abt 12 minutes, flip halfway", Bc why not,
Bagel Bites,Appetizers & Sides,,,"Brown Sugar Cinnamon
2 sliced bagels
75 g melted butter. ⅓ cup. 5 ⅓ tbsp
Brown sugar and cinnamon mixture
Salt and Garlic
3 bagels
⅓ cup olive oil
2 cloves garlic, minced
1 teaspoon Italian seasoning
¼ cup freshly grated Parmesan cheese
salt and pepper to taste
Everything Bagel
1 bagel
2 tbsp olive oil or melted butter
1/2 tsp salt
3 tsp everything seasoning","Pour butter of bagel slices
Mix in the cinnamon sugar mixture
Air fry @ 350F for 5 minutes
Dip in nutella or cream cheese or whatever ya want",,
Bread,Appetizers & Sides,,,"1 1/2 cups warm water (about 100 degrees F) (360mL)
1 packet yeast (active dry, instant, or quick rise- 2.25 teaspoons)
1/2 tablespoon fine grain salt (preferably NOT iodized, see notes)
3 1/4 cups all-purpose flour or bread flour (430g)
1 tsp sugar if using active dry yeast","Instant Yeast: Just mix water, yeast and salt together until fully dissolved
Active Dry Yeast: Proof it by mixing it with ¼ cup water and 1 tsp sugar. Let it sit for 10 min and foam
Add flour to the bowl and stir together until a sticky dough forms. Don't worry about mixing it too much, just make sure everything is uniformly wet. It WILL be messy and sticky. You can scrape what's left on the spoon with a silicone spatula.
Cover the bowl with a kitchen towel and leave it for 2-3 hours to rise in a somewhat warm place.
30 minutes - 1 hr before you are ready to bake, preheat your oven to 450 degrees F and place your Dutch oven in the oven, with the lid ON
Once the oven reaches 450, keep it preheating for another 20 minutes
Scrape the dough into the edge of a piece of parchment paper dusted with flour. Make it into as much of a ""loaf"" shape as you can by folding the edges up on top of it (a silicone spatula works well for this).
Then, use the edges of the parchment paper to flip the loaf over so the floured side is on top and the loaf is in the center of the parchment paper. Don't worry about it looking beautiful or smooth on top.
Take out the preheated Dutch oven and take off the lid, carefully! Grab the parchment from the sides and place the loaf in your Dutch oven.
Place the cover back on the Dutch oven and place in the preheated oven on the center rack.
Bake for 35 minutes at 450 degrees F (40 minutes if dough was cold from the fridge).
Remove lid and bake for another 5-10 minutes
Remove the loaf from the dutch oven and let it cool for at least 30 minutes before slicing"," Rosemary + Olive Oil: 2 tbsp of both, just mix it in but you might need more flour To see if dough is kneaded enough, take a little part and stretch it. If it doesn’t break, you’re good. If it does, keep kneading. If it’s too sticky and you think you’ve added enough flour, let it sit for 5 minutes Rub olive oil in the bowl before putting the dough in to rise Cinnamon Raisin: 1 tsp cinnamon, ¼ cup raisins Honey: ¼ cup, maybe less idk",
Buffalo Chicken Dip,Appetizers & Sides,,,"1 cup of shredded cooked chicken
2 (8oz) packages of cream cheese
1 cup of ranch
¾ cup of buffalo sauce
1.5 cups of shredded cheese
Chips to dip or bread to spread","Mix that shiii together and add to a dish
Sprinkle with cheese and cover with foil
Cook at 450˚F for 10-15 min",,
Buffalo Chicken Wontons,Appetizers & Sides,,,,, We talked about doing this for a light dinner one night for when we need to eat something but aren’t in the mood for anything heavy. Picture will be added when we make it :),
Chicken Nuggets,Appetizers & Sides,,,"1 boneless skinless chicken breast
1/4 teaspoon salt
1/8 teaspoon black pepper
1/2 cup unsalted butter melted
1/2 cup breadcrumbs
2 tablespoons grated Parmesan optional","Preheat air fryer to 390 degrees for 4 minutes.
Trim any fat from chicken breast, Slice into 1/2 inch thick slices, then each slice into 2 to 3 nuggets. Season chicken pieces with salt and pepper.
Place melted butter in a small bowl and breadcrumbs ( with Parmesan, if using ) in another small bowl.
Dip each piece of chicken in butter, then breadcrumbs.
Place in a single layer in the air fryer basket. Depending on the size of your air fryer, you may need to bake in two batches or more.
Set timer to 8 minutes.
When done, check if the internal temperature of chicken nuggets is at least 165 degrees F. Remove nuggets from basket with tongs and set onto a plate to cool.",,
Cowboy Caviar,Appetizers & Sides,,,"1 can black beans, drained and rinsed
1 can black eyed peas, drained and rinsed
1 can corn drained
2 bell peppers
1 avocado
2 jalapenos
2 limes
1 red onion
1 tomato
½ cup olive oil
¼ cup apple cider vinegar
Salt, pepper, cumin, aleppo pepper, chili powder, ½ tsp sugar",Chop and mix lol, I know you don’t like beans but i promise this is good,
Crab Rangoons,Appetizers & Sides,,,"Wonton wrappers
8 oz softened cream cheese
8 oz crab meat
1-2 cloves of minced garlic
1 tsp of Worcestershire sauce
Green onions if ya want but who tf uses green onions
Sweet and sour sauce to dip duh","Andddddd mix it mix it mix it mix it mix it
Wet ;) the edges of the wrapper
Stufffff those wontons nice and good
Fry with air at 370˚F for ~10 minutes", We’ve talked about making these for soooo long. We haven’t yet but we will one day. Then I'll have a picture to add and maybe a funny story to write here lol.,
Crockpot Street Corn Dip,Appetizers & Sides,,,"2 drained cans of corn
16 oz cream cheese
8 oz pepper jack
Tajin
Diced cilantro
¼ cup sour cream","Throw all of that stuff in the crockpot
Cook on low for 2.5 hours",,
Chuy’s Creamy J,Appetizers & Sides,,,"1 cup sour cream
1 cup mayo
1 packet of Ranch Mix
½ cup of pickled jalapeno peppers (say that 5 times fast)
½ cup of cilantro
Lime juice
OPTIONAL: garlic salt
OPTIONAL: buttermilk makes it thinner",Mix it mix it mix it mix it mix it mix it mix it mix it, I LOVE our chuy’s dates where we only go for margs and creamy j. We got pretty fruity drinks in that picture but they were so good. Let’s make this and margs sometime ;),
Fried Pickles,Appetizers & Sides,,,"Dill pickles slices (fry style or chips)
Bowl 1
½ cup flour
½ tsp salt
Bowl 2
3 beat eggs
2 tbsp pickle juice
½ tsp cayenne
½ tsp garlic powder
Bowl 3
2 cups panko bread crumbs
2 tbsp fresh dill
Ranch to dip obviously","Dab up the pickles (try to get them dry)
Assemble da bowls
Order: 1 -> 2 -> 3
Air fry for 7-10 minutes at 400˚F. Flip and cook for another 7-10 minutes
Drown them shits in ranch"," God I really hope that wherever we move after college has a Willie’s nearby because it’s literally the perfect place to get fried pickles and cheap strong margs. Anyways, we’re both whores for fried pickles so you know I gotta put that shit in here. Adjust the recipe however ya want to bc ya never know how it’s gonna turn out.",
