title,category,tags,cookTime,ingredients,instructions,notes,rating
Brown Sugar Chicken,Archived,,,"Chicken
2 large chicken breasts or 5-6 boneless chicken thighs
2 tablespoons flour
1 tsp EACH paprika, garlic powder, onion powder
1/2 tsp EACH ground cumin, salt, pepper, chipotle chile pepper
2 tablespoons unsalted butter
2 tablespoon olive oil
Brown Sugar Sauce
1/2 cup packed light brown sugar
1/4 cup reduced sodium soy sauce
1/4 cup low sodium chicken broth
1 tablespoon lemon juice
1 teaspoon Dijon mustard
1/2 teaspoon cornstarch
1/2 tsp EACH dried parsley, dried thyme, dried oregano
Dash red pepper flakes","Slice the chicken breasts in the half through the equator to create 4 filets. Cover with plastic wrap and pound to an even thickness. Pat dry.
Whisk the flour and all chicken seasoning together in a shallow dish. Reserve 1 tablespoon to use later in the sauce. Dredge each breast in the remaining flour mixture, shake off any excess, then transfer to a dry surface
Melt the 2 tablespoons butter in 2 tablespoons oil in a large skillet over medium-high heat. Once hot, add chicken and cook for 4-5 (depending on thickness) per side until golden and cooked through. Transfer chicken to a plate, don't wipe out skillet.
Mix chicken broth with cornstarch and add to the skillet, followed by all of the sauce ingredients, including the 1 tablespoon reserved flour mixture. Bring sauce to a simmer while scraping up any brown bits on the bottom of the pan; simmer until sauce thickens to desired consistency, stirring often. Taste the sauce and add additional lemon juice for tangier/less sweet if desired.
Add chicken back to the skillet and spoon some of the sauce over top. Warm through over low heat so the chicken can soak up some of the sauce. Garnish with fresh parsley (optional) and serve with mashed potatoes, polenta, rice or cauliflower rice. If the chicken is too sweet for your liking, garnish with freshly squeezed lemon juice.",,
Chicken and Chorizo Pasta Pots,Archived,,,"For the Pasta:
Tbsp of extra virgin olive oil.
300g of chicken breast - diced.
Salt and pepper, to taste.
300g of spiralli pasta.
Tbsp of malt vinegar.
Tsp of extra virgin olive oil.
8 thin slices of chorizo.
For the tomato sauce:
Tbsp of extra virgin olive oil.
2-3 cloves of garlic - crushed.
1 tin of plum tomatoes.
A handful of fresh basil - chopped.
Tsp of brown sugar.
1/2 tsp of salt.
1/2 tsp of freshly ground black pepper.","Heat tbsp of olive oil in non-stick pan and add chicken breast. Cook for 5 mins, until cooked through and season to taste with salt and pepper. Once cooked, remove and set aside.
Before you start your tomato sauce, boil a large saucepan of lightly salted water and add pasta. Cook pasta until al dente.
Turn the heat of your non-stick pan down to low, add another tbsp of olive oil to pan and add garlic. Sauté garlic for 1-2 mins, until it just starts to turn a golden brown. Add tin of plum tomatoes, cook plum tomatoes for 10 mins, mashing down the tomatoes until broken down and smooth. Add brown sugar, basil and season to taste, once sauce has thickened, remove from heat.
Once pasta is cooked, drain and transfer to a large mixing bowl. Allow pasta to cool, before adding tsp of olive oil and malt vinegar (this will prevent it from sticking when cool).
Once pasta has completely cooled, add chicken, tomato sauce and chorizo slices to pasta and mix until combined.",,
Chicken Birria Tacos,Archived,,,"For the Sauce:
3-4 dried chipotle or ancho chillies, if you can’t find these then use 3-4 red chillies but we definitely recommend dried chillies or some type! We also used these Chipotle and Ancho because they are the easiest to find in UK supermarkets.
500ml of chicken stock.
Tin of chopped tomatoes.
Tsp of cumin
Tsp of smoked paprika.
Tbsp of oregano.
1 cinnamon stick.
To Fry:
Tbsp of neutral oil, we used avocado oil.
500g of boneless, skinless chicken thighs
Tbsp of apple cider vinegar.
1 onion - finely chopped.
5 cloves of garlic - finely chopped.
To Serve:
8 mini corn or flour tortillas.
1 ball of mozzarella - grated.
1 onion - diced.
Sour cream","Cut off the ends of dried chillies and add them to a blender with chicken stock and leave to soak for at least 15 mins.
Meanwhile, heat oil in a deep pan, season chicken thighs generously with salt and pepper and add to pan. Cook for 3-4 mins on each side before removing, don’t worry, they don’t need to be fully cooked at this point, we just want some colour on them.
Whilst chicken thighs are cooking, to your blender add chopped tomatoes, cumin, smoked paprika, oregano, salt and pepper (to taste) and blitz until smooth.
Back to the pan. Once chicken thighs are removed, deglaze pan with apple cider vinegar and onion. Cook onion for 5 mins until soft, then add garlic and cook for 1-2 mins. Add blended sauce to pan, stir well and then add chicken thighs back to pan along with cinnamon stick. Cover and leave to simmer on low heat for at least 30 mins. The longer you can leave to simmer, the better. 1 hour would be amazing, 2 hours even better! Stir every now and then.
Once cooked, your sauce should be thick and your chicken thighs should fall apart easily. Remove them and shred into fine pieces. Remove a few ladles of sauce from pan and set aside, this will be used as a dip for your tacos. Make sure you leave some sauce in pan to dip tortilla before building quesa-tacos.
Time to build your quesa-tacos (quesadilla tacos!). Add a small amount of oil to a non-stick pan, coat your tortilla in sauce remaining in pan used to simmer, then add tortilla to oiled pan. Add your filling to tortilla: shredded chicken thighs, grated mozzarella and diced onion, then fold tortilla over itself, creating a quesa-taco!",,
Chicken Curry Gyros,Archived,,,"For the Chicken Marinade:
500g of chicken breast.
200g of plain yoghurt (full fat is best).
Tbsp of curry powder.
Tsp of sweet paprika.
Tsp of garam masala.
Salt and pepper, to taste.
Juice of 1/2 a lemon.
For the Mint-Yoghurt Sauce:
200g of plain yoghurt.
1 green chilli - seeds removed and chopped.
A handful of mint - stalks removed.
A handful of coriander - stalks removed.
Tsp of extra virgin olive oil.
1 clove of garlic - minced.
1/4 tsp of cumin.
1/4 tsp of garam masala.
A small squeeze of lemon juice.
To Serve:
1 red pepper - roughly chopped.
1 green pepper - roughly chopped.
4 flatbreads - heat slightly before making gyros.
Sliced red onion.
Coriander leaves- roughly chopped.
Mango chutney (1 tsp per gyros).
Vine tomatoes - roughly chopped","Mix together chicken marinade ingredients until fully combined, then add chicken thighs. Coat chicken thighs in marinade, cover and leave to marinade for at least 30 mins.
Meanwhile, add green chilli, coriander, mint leaves and olive oil to a food processor or blender and blitz until smooth. Add this mixture to a bowl with plain yoghurt, garlic, cumin, garam masala, lemon juice and mix until combined.
When you are ready to cook chicken thighs, remove from fridge 10 mins before cooking to allow to come to room temp. Heat a non-stick pan or cast iron skillet and add chicken thighs. Cook chicken thighs approx 5 mins on each side. Make sure they are cooked through before removing and setting aside. Add peppers into pan, skin side down and cook until peppers are slightly soft and charred.
Slice your chicken thighs into thin strips. Make sure the rest of your garnishes are ready to serve and then build your gyros. Add some mint-yoghurt sauce to the base of your flatbread, then chicken, pepper, red onion slices, tomatoes, mango chutney and coriander.",,
Chicken Pesto Rice Bake,Archived,,,"For the Chicken Thighs:
500g of chicken thighs.
1 calorie cooking spray.
Tsp of garlic granules.
Tsp of smoked paprika.
Tsp of chilli flakes.
For the Rice Bake:
1 white onion - finely chopped.
A pack of cherry tomatoes.
200g of basmati rice.
400ml of chicken stock.
A bunch of fresh basil.
Tsp of garlic granules.
Tsp of smoked paprika.
4 tsp of green pesto.","Preheat oven to 180°C/ 375°F.
Coat chicken thighs in olive oil, garlic granules, smoked paprika and chilli flakes. Heat a few sprays of cooking spray in a non-stick pan and add chicken thighs. Sear until cooked through, approx 3-4 mins on each side. Once cooked, remove from pan and set aside.
Add onion and cherry tomatoes to pan. Cook for 5-7 mins on low-medium heat, until onions are soft and cherry tomatoes are jammy. Gently squeeze cherry tomatoes to release a bit of their juices.
Transfer onions and cherry tomatoes to baking dish, then add rice, chicken stock, basil, smoked paprika, garlic granules and give everything a good stir in the baking dish. Add cooked chicken thighs on top of rice and add tsp of pesto to each chicken thigh. Cover tightly with tin foil, then bake for 25 mins. Remove from oven and leave to sit for at least 5 mins.",,
Chili Cheese Fries,Archived,,,"fries
7oz ground beef, seasoned
Sauce
100g cottage cheese or greek yogurt
40g cheese
30g milk","Microwave sauce stuff
Cook beef
Combine all",,
Chipotle Chicken and Shrimp Tacos,Archived,,,"Chipotle Marinade:
1 tbsp extra virgin olive oil.
2 tsp chipotle paste.
1 tsp cumin.
1 tsp of smoked paprika.
½ tsp of salt.
½ tsp of black pepper.
Juice of ½ a lime.
3 cloves of garlic - finely chopped.
1 tbsp of oregano.
For the Tacos:
150g of prawns.
250g of chicken breast - diced.
8 wheat mini tortillas.
Avocado - sliced.
Zingy Slaw:
¼ of white cabbage - finely sliced or shredded.
½ an onion - finely sliced.
2 tbsp of greek yoghurt.
Tsp of extra virgin olive oil.
A squeeze of lime juice.
Salt and pepper, to taste.
Pico De Gallo:
4-5 tomatoes - finely chopped.
¼ of red onion - finely chopped.
Green chilli - deseeded, finely chopped.
A bunch of fresh coriander - finely chopped.
A squeeze of lime juice.
Salt and pepper to taste
Yoghurt Dressing:
200g of greek yoghurt.
Juice of ½ a lime.
Tsp of smoked paprika.
½ tsp of chilli powder.","Mix together marinade ingredients until combined. Divide marinade between prawns and chicken breast and leave to marinade for 30 mins.
Meanwhile, in a large bowl, mix together all slaw ingredients. In a separate bowl, mix together all pico de Gallo ingredients until combined. In a separate bowl, mix together all yoghurt dressing.
Once marinaded, heat a non-stick pan, add a splash of olive oil and add your marinaded chicken breast. Cook for 5-10 mins, until cooked through, then remove from pan. Repeat with marinaded prawns, cook for no longer than 5 mins, then remove from heat.
Lightly toast your tortillas before serving, then build your taco, serve with avocado slices and enjoy!",,
Chipotle Shrimp,Archived,,,"1 bag of shrimp
Garlic salt
Paprika
4 tbsp of butter
1 tbsp minced garlic
Chipotle seasoning","Season shrimp with garlic salt and paprika
Melt butter and mix in garlic and chipotle seasoning
Airfry shrimp at 375F for 10 min
Pour butter mixture on when it’s done",,
Citrus Shrimp Lettuce Cups,Archived,,,1,,,
Creamy Cajun Chicken Orzo,Archived,,,"Chicken
1 tbsp of extra virgin olive oil
3-4 small chicken breasts
1 tbsp of cajun seasoning
Orzo
Tbsp of extra virgin olive oil.
1 onion - finely chopped.
1 red pepper - thinly sliced.
3 cloves of garlic - chopped.
Tbsp of cajun seasoning (can add more if you like).
Tsp of smoked paprika.
350g of orzo.
1 litre of semi-skimmed milk.
400ml of chicken stock.
25g of parmesan - grated.
A handful of fresh basil - chopped.
A pinch of chilli flakes.
A squeeze of fresh lemon juice.
Basil and parmesan to garnish","Preheat oven to 400°F.
Place chicken breasts in a dish, add olive oil and coat with cajun seasoning. Bake for 20-25 mins. Baste chicken breasts once or twice throughout cook time.
Heat olive oil in a large deep pan, add onion and red pepper and cook for 5 mins, until soft. Add garlic and cook for 1 min, then add cajun seasoning and paprika and stir into vegetables.
Add orzo to pan and mix into vegetables and seasoning, then add milk and chicken stock. Mix everything together, bring pan to a low simmer and leave orzo to cook for  8-10 mins. The liquid should reduce to create a lovely thick and creamy sauce.
Once cooked, season taste, add chilli flakes and parmesan, then stir once more. Finally, stir in basil and a squeeze of lemon juice. Slice your baked chicken breast and serve on top of creamy cajun orzo",,
